year,name,image
1992,The Bodyguard,https://upload.wikimedia.org/wikipedia/en/8/8f/The_Bodyguard_1992_Film_Poster.jpg
1992,Death Becomes Her,https://upload.wikimedia.org/wikipedia/en/e/e9/Death_Becomes_Her_poster.jpg
1992,Honeymoon in Vegas,https://upload.wikimedia.org/wikipedia/en/d/dc/Honeymoon_In_Vegas.jpg
1993,Groundhog Day,https://upload.wikimedia.org/wikipedia/en/b/b1/Groundhog_Day_%28movie_poster%29.jpg
1993,Mrs. Doubtfire,https://upload.wikimedia.org/wikipedia/en/5/5a/Mrs_Doubtfire.jpg
1993,Grumpy Old Men,https://upload.wikimedia.org/wikipedia/en/d/da/Grumpy_Old_Men_.jpg
1994,A Man of No Importance,https://upload.wikimedia.org/wikipedia/en/6/62/AManOfNoImportnace.jpg
1994,Priscilla Queen of the Desert,https://upload.wikimedia.org/wikipedia/en/0/0f/Priscilla_the_Queen.jpg
1996,The Spitfire Grill,https://upload.wikimedia.org/wikipedia/en/3/39/The_Spitfire_Grill.jpg
1997,The Full Monty,https://jnpprinting.co.uk/cdn/shop/products/TheFullMontyProfile_1024x1024@2x.jpg?v=1679089162
1997,Hands on a Hardbody,https://upload.wikimedia.org/wikipedia/en/0/0e/HandsonaHardBodyMoviePoster.jpg
1998,The Wedding Singer,https://upload.wikimedia.org/wikipedia/en/8/84/The_Wedding_Singer_film_poster.jpg
1999,Cruel Intentions,https://upload.wikimedia.org/wikipedia/en/9/9c/Cruel_intentions_ver1.jpg
2000,Billy Elliot,https://upload.wikimedia.org/wikipedia/en/3/31/Billy_Elliot_movie.jpg
2000,Almost Famous,https://upload.wikimedia.org/wikipedia/en/d/dd/Almost_famous_poster1.jpg
2000,Bring It On,https://upload.wikimedia.org/wikipedia/en/f/fa/Bringitonmovieposter.jpg
2001,Legally Blonde,https://upload.wikimedia.org/wikipedia/en/b/be/Legally_Blonde_film_poster.png
2001,Shrek,https://upload.wikimedia.org/wikipedia/en/7/7b/Shrek_%282001_animated_feature_film%29.jpg
2001,Amélie,https://upload.wikimedia.org/wikipedia/en/5/53/Amelie_poster.jpg
2002,Catch Me If You Can,https://upload.wikimedia.org/wikipedia/en/4/4d/Catch_Me_If_You_Can_2002_movie.jpg
2002,Bend It Like Beckham,https://upload.wikimedia.org/wikipedia/en/1/1c/Bend_It_Like_Beckham_movie.jpg
2003,School of Rock,https://upload.wikimedia.org/wikipedia/en/1/11/School_of_Rock_Poster.jpg
2003,Big Fish,https://upload.wikimedia.org/wikipedia/en/4/41/Big_Fish_movie_poster.png
2003,Elf,https://upload.wikimedia.org/wikipedia/en/d/df/Elf_movie.jpg
2003,Calendar Girls,https://upload.wikimedia.org/wikipedia/en/a/ad/Calendar_Girls.jpg
2004,Mean Girls,https://upload.wikimedia.org/wikipedia/en/a/ac/Mean_Girls_film_poster.png
2004,Saved!,https://upload.wikimedia.org/wikipedia/en/b/b9/Saved%21_movie_poster.jpg
2004,Saw,https://cdn.cinematerial.com/p/297x/wwdxcs5l/saw-movie-poster-md.jpg?v=1456107427
2004,Finding Neverland,https://upload.wikimedia.org/wikipedia/en/2/2e/Findingneverlandposter.jpg
2005,Kinky Boots,https://upload.wikimedia.org/wikipedia/en/9/9a/Kinky_Boots_%28movie_poster%29.jpg
2005,Mrs Henderson Presents,https://upload.wikimedia.org/wikipedia/en/b/b3/Mrs._Henderson_Presents_poster.jpg
2006,Little Miss Sunshine,https://upload.wikimedia.org/wikipedia/en/1/16/Little_miss_sunshine_poster.jpg
2006,The Devil Wears Prada,https://upload.wikimedia.org/wikipedia/en/e/e7/The_Devil_Wears_Prada_main_onesheet.jpg
2007,Waitress,https://upload.wikimedia.org/wikipedia/en/f/f4/Waitress_film_poster.jpg
2007,The Band's Visit,https://upload.wikimedia.org/wikipedia/en/4/4d/The_Band%27s_Visit.jpg
2007,Ratatouille,https://upload.wikimedia.org/wikipedia/en/5/50/RatatouillePoster.jpg
2010,Made In Dagenham,https://m.media-amazon.com/images/M/MV5BMTQ5NTYxOTAzNV5BMl5BanBnXkFtZTcwOTU3Njc5Mw@@._V1_FMjpg_UX1000_.jpg
2015,How to Dance in Ohio,https://upload.wikimedia.org/wikipedia/en/a/ad/How_to_Dance_in_Ohio_poster.jpg
