year,name,description,image_url
1694,Voltaire,French philosopher & author,https://s-media-cache-ak0.pinimg.com/236x/af/61/18/af611830d9b2308c78ca833bf3acfd6d.jpg
1706,Benjamin Franklin,American scientist & statesman,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNjMyNzg5MDA1/benjamin-franklin-9301234-2-402.jpg
1712,Jean-Jacques Rousseau,Swiss-French philosopher,http://www.iep.utm.edu/wp-content/media/rousseau.jpg
1724,Immanuel Kant,German philosopher,http://kdfrases.com/imagens/immanuel-kant.jpg
1732,George Washington,US president & general,http://s3.amazonaws.com/mtv-main-assets/files/callouts/washington-portrait-f1.jpg
1743,Thomas Jefferson,US president,https://images.newrepublic.com/546c8688bc6fa8cb0c57e9a6624c17fc9a5180e5.jpeg
1755,Wolfgang Amadeus Mozart,Austrian composer
1769,Napoleon Bonaparte,Emperor of France,https://static.independent.co.uk/s3fs-public/thumbnails/image/2013/09/29/23/24-Napoleonv2.jpg
1770,Ludwig van Beethoven,German composer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Beethoven.jpg/1200px-Beethoven.jpg
1782,Simón Bolívar,Venezuelan revolutionary
1791,Alexander Pushkin,Russian author
1809,Abraham Lincoln,US president,https://i.pinimg.com/736x/71/5f/a5/715fa5b3b1b2614540c48cd68dd5342c--colorized-historical-photos-abraham-lincoln.jpg
1818,Karl Marx,German philosopher,http://www.thenee.com/karl-markx.jpg
1822,Ulysses S. Grant,US president & general,https://intriguinghistory.files.wordpress.com/2014/09/usgrant-1.jpg
1835,Mark Twain,US author,http://www.lib.berkeley.edu/give/bene-legere/bene62/MarkTwain.jpg
1844,Friedrich Nietzsche,German philosopher,https://upload.wikimedia.org/wikipedia/commons/1/1d/Portrait_of_Friedrich_Nietzsche.jpg
1858,Theodore Roosevelt,US president,http://vignette4.wikia.nocookie.net/althistory/images/7/77/1-theodore-roosevelt--president-of-the-united-states-international-images.jpg/revision/latest?cb=20140324061151
1869,Mahatma Gandhi,Indian leader,http://www.elparana.com/wp-content/uploads/2016/10/gandhi.jpg
1878,Joseph Stalin,Soviet leader,https://static.giantbomb.com/uploads/scale_small/3/32849/2163825-jstalin.jpg
1889,Adolf Hitler,German leader,http://cdn.images.express.co.uk/img/dynamic/20/590x/secondary/Adolf-Hitler-789141.jpg
1890,Dwight D. Eisenhower,US president & general,https://upload.wikimedia.org/wikipedia/commons/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg
