name,etymology,flag
Miyagi,prefecture tree,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Miyagi_Prefecture.svg/1024px-Flag_of_Miyagi_Prefecture.svg.png
Miyazaki,stylised ミ (MI),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Flag_of_Miyazaki_Prefecture.svg/1024px-Flag_of_Miyazaki_Prefecture.svg.png
Nagano,stylised ナ (NA) + mountain/lake,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Nagano_Prefecture.svg/1024px-Flag_of_Nagano_Prefecture.svg.png
Nagasaki,stylised N,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Nagasaki_Prefecture.svg/1024px-Flag_of_Nagasaki_Prefecture.svg.png
Nara,stylised ナ (NA),https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Nara_Prefecture.svg/1024px-Flag_of_Nara_Prefecture.svg.png
Niigata,stylised 新 (NI) + ガタ (GATA),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Niigata_Prefecture.svg/1024px-Flag_of_Niigata_Prefecture.svg.png
Ōita,stylised オ (O),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Flag_of_Oita_Prefecture.svg/1024px-Flag_of_Oita_Prefecture.svg.png
Okayama,stylised 岡 (OKA),https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Flag_of_Okayama_Prefecture.svg/1024px-Flag_of_Okayama_Prefecture.svg.png
Okinawa,stylised O,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Okinawa_Prefecture.svg/1024px-Flag_of_Okinawa_Prefecture.svg.png
Ōsaka,stylised O + three gourds,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Osaka_Prefecture.svg/1024px-Flag_of_Osaka_Prefecture.svg.png
Saga,prefecture flower,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_Saga_Prefecture.svg/1024px-Flag_of_Saga_Prefecture.svg.png
Saitama,ornamental bead (SAITAMA),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Saitama_Prefecture.svg/1024px-Flag_of_Saitama_Prefecture.svg.png
Shiga,stylised シガ (SHIGA),https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Shiga_Prefecture.svg/1024px-Flag_of_Shiga_Prefecture.svg.png
Shimane,four (SHI) stylised マ (MA),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Shimane_Prefecture.svg/1024px-Flag_of_Shimane_Prefecture.svg.png
Shizuoka,stylised map and Mt Fuji,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Shizuoka_Prefecture.svg/1024px-Flag_of_Shizuoka_Prefecture.svg.png
Tochigi,stylised 栃 (TOCHI),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_Tochigi_Prefecture.svg/1024px-Flag_of_Tochigi_Prefecture.svg.png
Tokushima,stylised とく (TOKU),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Tokushima_Prefecture.svg/1024px-Flag_of_Tokushima_Prefecture.svg.png
Tōkyō,sun with dot in centre,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Flag_of_Tokyo_Metropolis.svg/1024px-Flag_of_Tokyo_Metropolis.svg.png
Tottori,stylised と (TO) as bird (TORI),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Tottori_Prefecture.svg/1024px-Flag_of_Tottori_Prefecture.svg.png
Toyama,stylised ト (TO) and Mt Tateyama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Flag_of_Toyama_Prefecture.svg/1024px-Flag_of_Toyama_Prefecture.svg.png
Wakayama,stylised ヮ (WA),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Wakayama_Prefecture.svg/1024px-Flag_of_Wakayama_Prefecture.svg.png
Yamagata,three mountain shapes (YAMAGATA),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Flag_of_Yamagata_Prefecture.svg/1024px-Flag_of_Yamagata_Prefecture.svg.png
Yamaguchi,stylised 山口 (YAMAGUCHI),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Yamaguchi_Prefecture.svg/1024px-Flag_of_Yamaguchi_Prefecture.svg.png
Yamanashi,stylised 山 (YAMA) in Mt Fuji,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Yamanashi_Prefecture.svg/1024px-Flag_of_Yamanashi_Prefecture.svg.png

